	GENE	ctrl_mean_reads	mean_fc	eb_std	zscore	std sgRNAs/gene	numObs
TNFSF9-3	TNFSF9	2159.667	-0.255	0.321	-0.796	0.409	5.000
ASPG-3	ASPG	2157.667	-0.098	0.321	-0.307	0.388	5.000
MYRIP-2	MYRIP	2156.000	0.072	0.321	0.225	0.244	5.000
IL2RG-3	IL2RG	2153.667	0.039	0.321	0.121	0.593	5.000
EIF4E2-1	EIF4E2	2153.000	0.562	0.321	1.752	0.513	5.000
CAB39L-2	CAB39L	2151.000	0.113	0.321	0.354	0.148	5.000
MSH4-4	MSH4	2149.000	0.091	0.321	0.282	0.272	5.000
SOCS7-1	SOCS7	2148.333	-0.020	0.321	-0.062	0.484	5.000
NEURL1-5	NEURL1	2148.000	-0.000	0.321	-0.001	0.260	5.000
SHANK1-5	SHANK1	2146.667	-0.120	0.321	-0.374	0.211	5.000
NKPD1-4	NKPD1	2144.667	0.025	0.321	0.078	0.096	5.000
GTPBP10-2	GTPBP10	2144.333	-0.315	0.321	-0.983	1.252	5.000
CCR1-3	CCR1	2140.667	-0.072	0.321	-0.224	0.125	5.000
TNNC2-4	TNNC2	2140.000	0.067	0.321	0.209	0.489	5.000
ZMYM5-3	ZMYM5	2139.333	0.055	0.321	0.172	0.247	5.000
HMGB3-4	HMGB3	2139.000	0.575	0.321	1.792	0.440	5.000
AXIN2-1	AXIN2	2136.000	0.103	0.321	0.320	0.426	5.000
PML-2	PML	2135.667	0.261	0.321	0.814	0.517	5.000
FOXP3-1	FOXP3	2135.667	0.039	0.321	0.123	0.242	5.000
ELF5-2	ELF5	2134.333	0.028	0.321	0.088	0.227	5.000
SYNGR2-3	SYNGR2	2134.333	-0.025	0.321	-0.079	0.170	5.000
FGF13-4	FGF13	2133.667	-0.014	0.321	-0.044	0.404	5.000
FAM109A-2	FAM109A	2132.333	0.155	0.321	0.484	0.281	5.000
C10orf82-1	C10orf82	2128.667	-0.034	0.321	-0.105	0.230	5.000
chr8_2	chr8_2	2127.000	0.106	0.321	0.330	0.000	1.000
PEPD-2	PEPD	2127.000	-0.362	0.321	-1.128	0.337	5.000
FABP1-3	FABP1	2126.667	0.089	0.321	0.278	0.269	5.000
BCL6-1	BCL6	2126.667	0.020	0.321	0.061	0.468	5.000
USP38-3	USP38	2123.667	-0.259	0.321	-0.807	0.208	5.000
GABRA2-5	GABRA2	2123.000	0.148	0.321	0.460	0.439	5.000
GRID2IP-4	GRID2IP	2123.000	0.073	0.321	0.228	0.349	5.000
EGF-2	EGF	2121.333	0.004	0.321	0.012	0.301	5.000
C1QL4-2	C1QL4	2120.667	-0.030	0.321	-0.095	0.171	5.000
LYPD8-3	LYPD8	2120.333	-0.111	0.321	-0.347	0.416	5.000
SDR42E1-1	SDR42E1	2119.333	0.023	0.321	0.072	0.155	5.000
chr13_4	chr13_4	2119.333	-0.025	0.321	-0.077	0.000	1.000
UNKL-4	UNKL	2115.333	-0.022	0.321	-0.069	0.171	5.000
CKM-2	CKM	2114.000	0.078	0.321	0.243	0.338	5.000
KIAA1671-1	KIAA1671	2114.000	0.059	0.321	0.185	0.344	5.000
TMEM176A-3	TMEM176A	2112.667	0.114	0.321	0.357	0.296	5.000
TFG-3	TFG	2112.667	-0.480	0.321	-1.496	0.958	5.000
HLA-DOB-2	HLA-DOB	2111.333	0.182	0.321	0.567	0.178	5.000
TRIM36-5	TRIM36	2111.333	-0.056	0.321	-0.174	0.382	5.000
CCL8-3	CCL8	2110.333	0.066	0.321	0.207	0.262	5.000
TTC7A-3	TTC7A	2110.000	0.081	0.321	0.252	0.295	5.000
LRFN2-5	LRFN2	2109.667	0.003	0.321	0.009	0.182	5.000
GGT7-2	GGT7	2108.667	-0.004	0.321	-0.013	0.283	5.000
ZDHHC1-1	ZDHHC1	2108.667	0.010	0.321	0.030	0.190	5.000
BCL2L10-2	BCL2L10	2107.667	0.099	0.321	0.309	0.086	5.000
RLN2-2	RLN2	2104.667	0.105	0.321	0.328	0.199	5.000
PFKL-1	PFKL	2104.000	-0.034	0.321	-0.107	0.300	5.000
FBLN2-4	FBLN2	2104.000	0.101	0.321	0.316	0.291	5.000
chr8_6	chr8_6	2103.333	0.083	0.321	0.258	0.000	1.000
RPS13-3	RPS13	2103.333	-1.072	0.321	-3.345	0.970	5.000
CH25H-1	CH25H	2103.000	0.144	0.321	0.450	0.221	5.000
IRF2BPL-5	IRF2BPL	2103.000	0.062	0.321	0.193	0.426	5.000
HLA-DMA-1	HLA-DMA	2102.667	0.084	0.321	0.262	0.251	5.000
REEP1-2	REEP1	2102.000	0.114	0.321	0.357	0.271	5.000
CXCL5-1	CXCL5	2100.667	-0.011	0.321	-0.035	0.138	4.000
ARID3A-3	ARID3A	2099.333	0.087	0.321	0.272	0.386	5.000
chr11_4	chr11_4	2098.667	0.081	0.321	0.253	0.000	1.000
TNFSF9-1	TNFSF9	2096.667	0.081	0.321	0.254	0.409	5.000
TRHDE-3	TRHDE	2095.667	0.085	0.321	0.266	0.183	5.000
GCC2-1	GCC2	2095.000	0.116	0.321	0.363	0.216	5.000
SS18-2	SS18	2095.000	0.287	0.321	0.896	0.449	5.000
FOXP3-5	FOXP3	2092.667	-0.012	0.321	-0.037	0.242	5.000
ASCL2-4	ASCL2	2092.333	0.051	0.321	0.159	0.164	5.000
PRRT3-5	PRRT3	2091.333	0.072	0.321	0.225	0.449	5.000
C7orf69-5	C7orf69	2090.333	0.067	0.321	0.209	0.275	5.000
KCNN2-2	KCNN2	2090.000	0.029	0.321	0.089	0.241	5.000
FANCG-4	FANCG	2089.667	-1.635	0.321	-5.099	1.983	5.000
ZFP36L2-5	ZFP36L2	2087.333	-0.003	0.321	-0.009	0.102	5.000
COL4A6-4	COL4A6	2086.667	0.104	0.321	0.325	0.138	5.000
ZSCAN31-2	ZSCAN31	2085.000	-0.171	0.321	-0.534	0.271	5.000
chr12_5	chr12_5	2082.667	-0.002	0.321	-0.007	0.000	1.000
CPNE9-3	CPNE9	2081.000	0.050	0.321	0.156	0.335	5.000
LIG1-5	LIG1	2078.333	0.427	0.321	1.332	0.538	5.000
COL4A6-1	COL4A6	2077.000	0.134	0.321	0.418	0.138	5.000
B3GNT5-2	B3GNT5	2076.667	0.049	0.321	0.154	0.230	5.000
ASXL1-2	ASXL1	2076.333	0.161	0.321	0.501	0.523	5.000
WNK2-1	WNK2	2075.333	-0.059	0.321	-0.183	0.301	5.000
RNF220-2	RNF220	2074.667	0.207	0.321	0.644	0.165	5.000
UBE2QL1-1	UBE2QL1	2074.000	0.217	0.321	0.678	0.449	5.000
TCF7-4	TCF7	2071.667	0.075	0.321	0.234	0.233	5.000
EHD3-4	EHD3	2070.000	0.088	0.321	0.274	0.382	5.000
OR51F2-2	OR51F2	2069.000	0.136	0.321	0.423	0.286	5.000
C11orf42-4	C11orf42	2066.667	-0.089	0.321	-0.278	0.258	5.000
ALS2CL-5	ALS2CL	2066.667	0.141	0.321	0.440	0.175	5.000
PSMC4-5	PSMC4	2064.667	-1.010	0.321	-3.150	1.069	5.000
SESN1-4	SESN1	2064.000	0.357	0.321	1.114	0.517	5.000
SLC38A5-1	SLC38A5	2063.333	-0.231	0.321	-0.719	0.320	5.000
RPS9-5	RPS9	2060.000	-0.116	0.321	-0.360	1.218	5.000
CYB5D1-3	CYB5D1	2059.333	0.033	0.321	0.101	0.305	5.000
chr21_4	chr21_4	2058.667	0.140	0.321	0.435	0.000	1.000
OR51F2-3	OR51F2	2057.000	-0.010	0.321	-0.030	0.286	5.000
chr1_9	chr1_9	2056.000	0.159	0.321	0.496	0.000	1.000
ZSCAN31-4	ZSCAN31	2056.000	0.014	0.321	0.044	0.271	5.000
GLT8D1-2	GLT8D1	2056.000	0.045	0.321	0.139	0.226	5.000
RIT1-2	RIT1	2054.667	0.067	0.321	0.208	0.290	5.000
TESK1-2	TESK1	2053.333	0.132	0.321	0.413	0.376	5.000
TMEM236-3	TMEM236	2053.000	0.231	0.321	0.722	0.259	5.000
chr7_5	chr7_5	2052.333	0.036	0.321	0.112	0.000	1.000
SLC50A1-3	SLC50A1	2050.667	0.021	0.321	0.065	0.160	5.000
SMIM15-3	SMIM15	2049.667	0.243	0.321	0.756	0.415	5.000
LGR5-4	LGR5	2048.333	-0.055	0.321	-0.171	0.301	5.000
TMEM30A-1	TMEM30A	2046.333	-0.604	0.321	-1.885	1.603	5.000
ETV3L-5	ETV3L	2045.667	0.301	0.321	0.939	0.381	5.000
ASTE1-4	ASTE1	2044.667	0.128	0.321	0.401	0.319	5.000
C21orf62-5	C21orf62	2044.000	0.016	0.321	0.050	0.184	5.000
MYOT-4	MYOT	2043.333	0.000	0.321	0.001	0.232	5.000
chr4_5	chr4_5	2042.000	-0.129	0.321	-0.401	0.000	1.000
AAGAB-3	AAGAB	2041.667	-2.119	0.321	-6.609	2.649	5.000
DACT2-3	DACT2	2041.000	0.186	0.321	0.580	0.424	5.000
chr15_2	chr15_2	2041.000	0.017	0.321	0.052	0.000	1.000
PRR21-1	PRR21	2040.667	0.113	0.321	0.352	0.132	5.000
NOS1-5	NOS1	2040.667	0.325	0.321	1.013	0.422	5.000
HSFY1-3	HSFY1	2038.333	0.037	0.321	0.117	0.221	5.000
FBN3-1	FBN3	2037.667	0.058	0.321	0.182	0.190	5.000
TTC7A-2	TTC7A	2037.333	-0.134	0.321	-0.419	0.295	5.000
MANSC1-5	MANSC1	2037.000	0.252	0.321	0.786	0.400	5.000
LYSMD3-3	LYSMD3	2036.667	0.035	0.321	0.108	0.342	5.000
PRR21-4	PRR21	2035.667	0.141	0.321	0.441	0.132	5.000
GJC3-3	GJC3	2035.000	-0.150	0.321	-0.468	0.310	5.000
EIF4E2-5	EIF4E2	2032.333	0.382	0.321	1.192	0.513	5.000
C15orf40-3	C15orf40	2030.667	0.130	0.321	0.406	0.218	5.000
PLEKHA4-1	PLEKHA4	2027.667	-0.101	0.321	-0.315	0.133	5.000
PNRC1-2	PNRC1	2026.667	0.284	0.321	0.884	0.345	5.000
LYSMD3-4	LYSMD3	2026.333	0.178	0.321	0.556	0.342	5.000
ELK1-2	ELK1	2026.333	-0.207	0.321	-0.647	0.932	5.000
PILRA-1	PILRA	2024.667	-0.019	0.321	-0.060	0.386	5.000
C8orf31-3	C8orf31	2023.333	0.115	0.321	0.358	0.271	5.000
GAGE12I-3	GAGE12I	2022.333	-0.082	0.321	-0.255	0.344	5.000
AAGAB-4	AAGAB	2022.333	0.171	0.321	0.532	2.649	5.000
GNG4-4	GNG4	2022.000	0.067	0.321	0.209	0.170	5.000
GRHL1-4	GRHL1	2022.000	-0.240	0.321	-0.749	0.496	5.000
UGT1A7-3	UGT1A7	2021.000	-0.077	0.321	-0.239	0.343	5.000
BMP10-4	BMP10	2019.000	-0.154	0.321	-0.481	0.192	5.000
DXO-1	DXO	2018.333	0.085	0.321	0.266	0.151	5.000
SHCBP1L-1	SHCBP1L	2018.333	-0.032	0.321	-0.098	0.223	5.000
LYSMD3-5	LYSMD3	2016.333	0.181	0.321	0.564	0.342	5.000
SERINC1-4	SERINC1	2016.000	-0.002	0.321	-0.007	0.189	5.000
POLD4-4	POLD4	2013.333	-0.018	0.321	-0.055	0.146	5.000
RBPJL-2	RBPJL	2013.000	-0.093	0.321	-0.289	0.407	5.000
EHD3-5	EHD3	2010.667	-0.008	0.321	-0.024	0.382	5.000
chr3_6	chr3_6	2010.333	0.214	0.321	0.668	0.000	1.000
RSF1-2	RSF1	2007.667	0.962	0.321	3.001	0.925	5.000
chr17_8	chr17_8	2007.000	0.089	0.321	0.279	0.000	1.000
MAML1-3	MAML1	2006.000	0.394	0.321	1.230	0.452	5.000
AGT-5	AGT	2005.667	-0.060	0.321	-0.186	0.191	5.000
F10-5	F10	2001.000	0.041	0.321	0.128	0.175	5.000
LTN1-4	LTN1	2000.667	-0.230	0.321	-0.719	0.575	5.000
EVC-2	EVC	1999.000	0.170	0.321	0.531	0.358	5.000
GRHL1-2	GRHL1	1999.000	0.068	0.321	0.212	0.496	5.000
SATL1-1	SATL1	1999.000	-0.018	0.321	-0.057	0.225	5.000
DMRTC1B-4	DMRTC1B	1998.667	-0.113	0.321	-0.354	0.122	5.000
BMP7-4	BMP7	1998.667	-0.008	0.321	-0.026	0.128	5.000
TOM1L2-2	TOM1L2	1998.000	-0.074	0.321	-0.232	0.167	5.000
OR2A14-1	OR2A14	1996.000	0.067	0.321	0.208	0.271	5.000
RNF216-1	RNF216	1995.000	-0.023	0.321	-0.071	0.360	5.000
XG-2	XG	1994.333	0.108	0.321	0.336	0.116	5.000
chr4_3	chr4_3	1992.667	0.041	0.321	0.127	0.000	1.000
SHANK1-1	SHANK1	1991.667	-0.107	0.321	-0.335	0.211	5.000
DXO-5	DXO	1991.667	0.104	0.321	0.324	0.151	5.000
BCL6-3	BCL6	1989.000	0.069	0.321	0.215	0.468	5.000
FBXO34-4	FBXO34	1988.333	-0.064	0.321	-0.200	0.224	5.000
SS18-3	SS18	1987.333	0.295	0.321	0.920	0.449	5.000
NR0B2-5	NR0B2	1987.333	-0.217	0.321	-0.677	0.341	5.000
chr18_10	chr18_10	1985.667	0.007	0.321	0.020	0.000	1.000
BCOR-2	BCOR	1984.667	-0.063	0.321	-0.198	0.224	5.000
DSG4-4	DSG4	1984.667	0.247	0.321	0.770	0.413	5.000
OR51F2-5	OR51F2	1984.000	0.091	0.321	0.285	0.286	5.000
KIF20B-2	KIF20B	1982.333	-0.045	0.321	-0.140	0.148	5.000
AADAT-3	AADAT	1979.667	0.056	0.321	0.175	0.173	5.000
LIPG-2	LIPG	1979.333	-0.058	0.321	-0.180	0.178	5.000
TTC7A-4	TTC7A	1978.667	0.041	0.321	0.128	0.295	5.000
GNA11-4	GNA11	1978.667	0.436	0.321	1.359	0.656	5.000
GRID2IP-5	GRID2IP	1977.667	0.170	0.321	0.531	0.349	5.000
SLC13A2-5	SLC13A2	1977.667	-0.074	0.321	-0.230	0.518	5.000
chr7_7	chr7_7	1977.333	-0.076	0.321	-0.236	0.000	1.000
SHROOM4-2	SHROOM4	1976.000	-0.074	0.321	-0.232	0.379	5.000
C3orf67-5	C3orf67	1975.667	0.219	0.321	0.683	0.072	5.000
MOGAT2-1	MOGAT2	1973.000	0.109	0.321	0.339	0.248	5.000
chr18_11	chr18_11	1972.333	0.292	0.321	0.911	0.000	1.000
chr15_9	chr15_9	1972.333	0.095	0.321	0.296	0.000	1.000
chr4_7	chr4_7	1971.000	0.073	0.321	0.228	0.000	1.000
CCL8-4	CCL8	1971.000	-0.125	0.321	-0.390	0.262	5.000
SHROOM4-4	SHROOM4	1971.000	0.272	0.321	0.847	0.379	5.000
chr20_3	chr20_3	1970.667	-0.068	0.321	-0.213	0.000	1.000
RIMS4-3	RIMS4	1969.667	-0.184	0.321	-0.574	0.243	5.000
LIMA1-2	LIMA1	1969.667	0.361	0.321	1.127	0.315	5.000
chr12_10	chr12_10	1966.333	0.167	0.321	0.522	0.000	1.000
AADAT-4	AADAT	1965.333	0.078	0.321	0.243	0.173	5.000
USP20-1	USP20	1963.333	-0.034	0.321	-0.105	0.270	5.000
PFKL-5	PFKL	1963.000	0.023	0.321	0.070	0.300	5.000
MUS81-1	MUS81	1961.667	-0.766	0.321	-2.390	0.443	5.000
KCNK17-1	KCNK17	1961.333	0.075	0.321	0.233	0.634	5.000
SNX30-1	SNX30	1958.333	-0.229	0.321	-0.716	0.241	5.000
chr13_1	chr13_1	1957.333	-0.111	0.321	-0.347	0.000	1.000
PCDHGA9-3	PCDHGA9	1955.333	0.192	0.321	0.598	0.293	5.000
TFCP2L1-2	TFCP2L1	1955.000	-0.012	0.321	-0.036	0.263	5.000
VAV3-2	VAV3	1954.667	0.180	0.321	0.562	0.194	5.000
ASCL2-5	ASCL2	1952.667	0.027	0.321	0.084	0.164	5.000
ROBO2-5	ROBO2	1949.000	0.184	0.321	0.574	0.516	5.000
IGFLR1-4	IGFLR1	1948.667	0.062	0.321	0.194	0.221	5.000
TGIF2-1	TGIF2	1946.000	-0.145	0.321	-0.451	0.368	5.000
KCNK5-1	KCNK5	1944.333	-0.276	0.321	-0.862	0.475	5.000
LYSMD3-1	LYSMD3	1944.333	0.370	0.321	1.153	0.342	5.000
LIPG-3	LIPG	1944.000	0.105	0.321	0.326	0.178	5.000
IL15RA-2	IL15RA	1942.333	0.218	0.321	0.680	0.304	5.000
SDCCAG3-5	SDCCAG3	1941.333	-0.224	0.321	-0.699	0.140	5.000
SNX30-2	SNX30	1941.000	-0.302	0.321	-0.941	0.241	5.000
DSG4-3	DSG4	1940.667	0.079	0.321	0.245	0.413	5.000
ADAM9-5	ADAM9	1940.333	0.100	0.321	0.312	0.338	5.000
QKI-5	QKI	1939.333	0.296	0.321	0.924	0.287	5.000
GRP-2	GRP	1939.333	0.091	0.321	0.283	0.421	5.000
TRPM5-4	TRPM5	1939.333	0.119	0.321	0.371	0.235	5.000
APITD1-5	APITD1	1938.333	-0.784	0.321	-2.444	0.297	5.000
HSBP1-2	HSBP1	1937.667	0.410	0.321	1.279	0.332	5.000
RNF216-2	RNF216	1937.667	-0.265	0.321	-0.826	0.360	5.000
APOL1-5	APOL1	1937.333	0.019	0.321	0.059	0.396	5.000
PHF19-3	PHF19	1936.333	-0.398	0.321	-1.240	0.257	5.000
TMEM198-3	TMEM198	1936.000	0.298	0.321	0.929	0.553	5.000
UBE2QL1-4	UBE2QL1	1935.000	-0.178	0.321	-0.556	0.449	5.000
ELF5-4	ELF5	1935.000	0.036	0.321	0.112	0.227	5.000
PLA2G2A-3	PLA2G2A	1934.333	-0.075	0.321	-0.235	0.239	5.000
BPIFB6-5	BPIFB6	1933.000	-0.277	0.321	-0.865	0.397	5.000
THPO-1	THPO	1932.000	0.120	0.321	0.374	0.256	5.000
PRPS2-4	PRPS2	1929.333	0.081	0.321	0.251	0.284	5.000
NKPD1-5	NKPD1	1929.333	-0.002	0.321	-0.006	0.096	5.000
ATP5L-1	ATP5L	1928.667	-0.417	0.321	-1.299	0.745	5.000
MSH5-3	MSH5	1928.667	0.226	0.321	0.705	0.442	5.000
OGFOD1-4	OGFOD1	1928.333	0.067	0.321	0.209	0.355	5.000
NKPD1-2	NKPD1	1927.333	-0.051	0.321	-0.161	0.096	5.000
TCF19-3	TCF19	1927.000	-0.018	0.321	-0.056	0.255	5.000
AMER3-2	AMER3	1926.000	-0.016	0.321	-0.050	0.190	5.000
UBE2QL1-2	UBE2QL1	1925.000	-0.055	0.321	-0.171	0.449	5.000
HEXA-2	HEXA	1924.333	-0.113	0.321	-0.351	0.241	5.000
EHD3-2	EHD3	1923.000	-0.257	0.321	-0.803	0.382	5.000
ELN-2	ELN	1922.667	0.072	0.321	0.224	0.197	5.000
SLC13A2-2	SLC13A2	1922.333	-0.458	0.321	-1.427	0.518	5.000
SDR42E1-3	SDR42E1	1922.333	0.067	0.321	0.209	0.155	5.000
REEP1-3	REEP1	1922.000	-0.058	0.321	-0.180	0.271	5.000
NUMB-2	NUMB	1921.333	-0.030	0.321	-0.094	0.256	5.000
PID1-3	PID1	1920.333	0.046	0.321	0.144	0.190	5.000
ROBO2-1	ROBO2	1919.000	0.265	0.321	0.826	0.516	5.000
NUP54-2	NUP54	1918.667	0.128	0.321	0.399	0.507	2.000
MKL2-3	MKL2	1918.000	0.092	0.321	0.286	0.090	5.000
CLEC14A-1	CLEC14A	1918.000	-0.084	0.321	-0.260	0.276	5.000
ENTPD4-2	ENTPD4	1916.667	0.115	0.321	0.357	0.328	5.000
CEACAM20-2	CEACAM20	1916.667	0.109	0.321	0.339	0.387	5.000
SATL1-4	SATL1	1915.667	0.084	0.321	0.261	0.225	5.000
USP38-4	USP38	1915.333	-0.165	0.321	-0.513	0.208	5.000
KRT23-5	KRT23	1915.333	0.200	0.321	0.625	0.766	5.000
ACSL6-4	ACSL6	1913.667	0.084	0.321	0.262	0.371	5.000
SRPK3-3	SRPK3	1912.333	0.047	0.321	0.148	0.148	5.000
TK2-4	TK2	1912.000	0.016	0.321	0.051	0.284	5.000
NME5-3	NME5	1911.333	-0.070	0.321	-0.218	0.239	5.000
PABPC1L-3	PABPC1L	1911.000	0.016	0.321	0.049	0.636	5.000
THPO-3	THPO	1910.333	-0.039	0.321	-0.122	0.256	5.000
GGT7-4	GGT7	1910.000	0.083	0.321	0.258	0.283	5.000
PLAGL2-5	PLAGL2	1908.333	-0.431	0.321	-1.345	0.240	5.000
ASCL2-3	ASCL2	1907.667	0.104	0.321	0.325	0.164	5.000
ZDHHC1-2	ZDHHC1	1907.000	0.116	0.321	0.363	0.190	5.000
chr7_10	chr7_10	1907.000	-0.144	0.321	-0.450	0.000	1.000
ELK1-4	ELK1	1906.333	-0.357	0.321	-1.113	0.932	5.000
TMPRSS13-5	TMPRSS13	1904.667	-0.054	0.321	-0.170	0.280	5.000
QKI-1	QKI	1903.333	0.484	0.321	1.508	0.287	5.000
RSPH14-3	RSPH14	1903.333	0.040	0.321	0.126	0.080	5.000
DPY19L2-3	DPY19L2	1901.667	0.106	0.321	0.330	0.316	5.000
ALKBH6-3	ALKBH6	1900.667	-0.062	0.321	-0.194	0.180	5.000
GNG4-2	GNG4	1900.667	0.102	0.321	0.318	0.170	5.000
PRR21-2	PRR21	1900.000	0.025	0.321	0.079	0.132	5.000
BLCAP-1	BLCAP	1898.667	0.037	0.321	0.117	0.238	5.000
CUEDC1-2	CUEDC1	1898.000	0.102	0.321	0.318	0.540	5.000
ZFHX2-1	ZFHX2	1898.000	-0.031	0.321	-0.097	0.323	5.000
UBE2QL1-5	UBE2QL1	1897.000	-0.155	0.321	-0.482	0.449	5.000
chr15_11	chr15_11	1896.667	0.084	0.321	0.262	0.000	1.000
SPZ1-2	SPZ1	1896.000	0.098	0.321	0.307	0.223	5.000
OR52E6-2	OR52E6	1895.333	-0.020	0.321	-0.062	0.267	5.000
KLLN-3	KLLN	1895.333	0.188	0.321	0.588	0.239	5.000
SPIN3-1	SPIN3	1894.667	0.069	0.321	0.215	0.208	5.000
POLR2F-4	POLR2F	1893.333	-0.070	0.321	-0.218	0.637	5.000
QPCT-1	QPCT	1893.000	-0.091	0.321	-0.283	0.335	5.000
NT5C3B-5	NT5C3B	1892.667	0.034	0.321	0.106	0.478	5.000
QKI-2	QKI	1892.667	0.507	0.321	1.580	0.287	5.000
CYP24A1-2	CYP24A1	1892.333	-0.192	0.321	-0.598	0.306	5.000
OSR1-1	OSR1	1892.000	-0.224	0.321	-0.699	0.252	5.000
RNF220-3	RNF220	1891.333	0.047	0.321	0.148	0.165	5.000
CCDC106-4	CCDC106	1890.667	0.020	0.321	0.064	0.418	5.000
LGR5-5	LGR5	1890.667	0.096	0.321	0.300	0.301	5.000
NANOS1-4	NANOS1	1890.000	0.172	0.321	0.537	0.351	5.000
chr21_1	chr21_1	1889.667	-0.037	0.321	-0.115	0.000	1.000
ERCC6L2-4	ERCC6L2	1889.667	-0.043	0.321	-0.134	0.368	5.000
FGF20-4	FGF20	1889.333	0.041	0.321	0.129	0.260	5.000
CLEC14A-2	CLEC14A	1887.667	0.047	0.321	0.146	0.276	5.000
IL2RG-2	IL2RG	1887.333	-0.189	0.321	-0.589	0.593	5.000
LTN1-5	LTN1	1885.000	-0.628	0.321	-1.960	0.575	5.000
RLN2-1	RLN2	1885.000	0.018	0.321	0.057	0.199	5.000
SLC51B-3	SLC51B	1884.333	0.059	0.321	0.183	0.175	5.000
CDHR5-4	CDHR5	1883.333	-0.030	0.321	-0.092	0.294	5.000
USP18-2	USP18	1883.333	-0.013	0.321	-0.042	0.849	5.000
BLCAP-2	BLCAP	1883.000	0.006	0.321	0.017	0.238	5.000
ADH4-3	ADH4	1883.000	0.174	0.321	0.543	0.257	5.000
HLA-DOB-5	HLA-DOB	1882.000	0.087	0.321	0.270	0.178	5.000
EVC-5	EVC	1881.000	-0.023	0.321	-0.073	0.358	5.000
chr15_7	chr15_7	1877.667	0.199	0.321	0.619	0.000	1.000
SPTBN1-4	SPTBN1	1877.333	-0.199	0.321	-0.622	0.504	5.000
CC2D2B-1	CC2D2B	1875.667	-0.169	0.321	-0.526	0.311	5.000
ACSL6-5	ACSL6	1875.333	0.004	0.321	0.013	0.371	5.000
PCMT1-2	PCMT1	1875.333	0.179	0.321	0.558	0.469	5.000
NKPD1-1	NKPD1	1875.333	0.035	0.321	0.110	0.096	5.000
PROX1-2	PROX1	1874.000	0.152	0.321	0.473	0.219	5.000
ASXL1-3	ASXL1	1873.333	-0.313	0.321	-0.977	0.523	5.000
PEPD-1	PEPD	1873.000	-0.303	0.321	-0.946	0.337	5.000
PLEKHN1-1	PLEKHN1	1872.333	0.250	0.321	0.779	0.577	5.000
TNNC2-1	TNNC2	1871.333	0.030	0.321	0.095	0.489	5.000
PSMC1-2	PSMC1	1871.333	-0.164	0.321	-0.512	0.531	5.000
CEP78-3	CEP78	1871.000	0.140	0.321	0.438	0.301	5.000
RPS24-3	RPS24	1870.333	-0.164	0.321	-0.511	1.225	5.000
CUEDC1-1	CUEDC1	1870.000	-0.028	0.321	-0.087	0.540	5.000
MLH1-5	MLH1	1868.667	-0.049	0.321	-0.152	0.261	5.000
FABP1-1	FABP1	1868.667	0.015	0.321	0.047	0.269	5.000
TRIM7-4	TRIM7	1867.000	0.070	0.321	0.219	0.332	5.000
FBN3-3	FBN3	1866.667	-0.006	0.321	-0.020	0.190	5.000
OR8S1-3	OR8S1	1866.000	0.335	0.321	1.046	0.431	5.000
TBX10-4	TBX10	1866.000	0.071	0.321	0.222	0.409	5.000
SCCPDH-5	SCCPDH	1865.333	-0.003	0.321	-0.010	0.114	5.000
SMIM15-4	SMIM15	1865.000	-0.069	0.321	-0.216	0.415	5.000
CH25H-5	CH25H	1864.667	0.150	0.321	0.467	0.221	5.000
chr11_7	chr11_7	1864.000	0.161	0.321	0.501	0.000	1.000
C3orf67-4	C3orf67	1864.000	0.187	0.321	0.584	0.072	5.000
HOXB8-1	HOXB8	1863.000	-0.180	0.321	-0.563	0.262	5.000
VWA5B1-1	VWA5B1	1863.000	-0.037	0.321	-0.116	0.560	5.000
ZMYM5-2	ZMYM5	1862.000	-0.102	0.321	-0.318	0.247	5.000
DNTTIP1-4	DNTTIP1	1861.333	-0.237	0.321	-0.740	0.344	5.000
DUOX2-3	DUOX2	1860.333	0.058	0.321	0.180	0.153	5.000
DSG4-5	DSG4	1858.667	0.123	0.321	0.382	0.413	5.000
CXCL9-3	CXCL9	1857.667	-0.044	0.321	-0.136	0.296	5.000
TYMSOS-4	TYMSOS	1856.333	0.026	0.321	0.081	0.263	5.000
MSANTD4-2	MSANTD4	1855.333	-0.110	0.321	-0.343	0.670	5.000
SPZ1-1	SPZ1	1855.333	-0.052	0.321	-0.161	0.223	5.000
PRR15-3	PRR15	1855.000	0.038	0.321	0.120	0.502	5.000
TFCP2L1-5	TFCP2L1	1854.667	-0.088	0.321	-0.274	0.263	5.000
C15orf40-4	C15orf40	1854.000	0.104	0.321	0.324	0.218	5.000
HIST1H2AE-3	HIST1H2AE	1852.333	-0.026	0.321	-0.080	0.228	5.000
GPR87-5	GPR87	1851.333	0.122	0.321	0.379	0.259	5.000
MFHAS1-3	MFHAS1	1850.667	0.357	0.321	1.115	0.873	5.000
GMCL1-2	GMCL1	1850.000	-0.198	0.321	-0.619	0.305	5.000
CXCL5-4	CXCL5	1849.000	-0.041	0.321	-0.127	0.138	4.000
chr5_1	chr5_1	1848.667	0.042	0.321	0.130	0.000	1.000
OSR1-5	OSR1	1847.000	-0.065	0.321	-0.202	0.252	5.000
chr19_6	chr19_6	1846.333	-0.144	0.321	-0.449	0.000	1.000
PRR15-4	PRR15	1846.000	-0.164	0.321	-0.511	0.502	5.000
NELL1-1	NELL1	1846.000	-0.189	0.321	-0.591	0.301	5.000
