	GENE	ctrl_mean_reads	mean_fc	eb_std	zscore	std sgRNAs/gene	numObs
chr8_1	chr8_1	1969.667	0.143	0.698	0.205	0.000	1.000
NKPD1-4	NKPD1	1969.000	0.123	0.698	0.176	0.115	5.000
LIMA1-2	LIMA1	1968.333	0.001	0.698	0.001	0.992	5.000
OIT3-5	OIT3	1968.333	0.138	0.698	0.198	0.139	5.000
KIAA1671-1	KIAA1671	1968.333	0.103	0.698	0.147	0.135	5.000
PMS2-5	PMS2	1967.333	0.305	0.698	0.437	0.645	5.000
AAGAB-3	AAGAB	1965.667	0.055	0.698	0.078	0.172	5.000
TMEM236-1	TMEM236	1964.000	0.155	0.698	0.223	0.142	5.000
ELF5-2	ELF5	1963.667	0.120	0.698	0.172	0.065	5.000
ZDHHC1-1	ZDHHC1	1961.667	0.104	0.698	0.149	0.155	5.000
OR2T33-1	OR2T33	1959.000	-0.184	0.698	-0.263	0.226	5.000
IGSF22-1	IGSF22	1958.000	-0.252	0.698	-0.361	0.325	5.000
LTN1-5	LTN1	1958.000	-0.055	0.698	-0.078	0.249	5.000
KIAA1671-5	KIAA1671	1956.667	0.352	0.698	0.504	0.135	5.000
OR2T33-3	OR2T33	1956.000	0.268	0.698	0.383	0.226	5.000
GLT8D1-2	GLT8D1	1954.000	0.073	0.698	0.105	0.276	5.000
SLC51B-3	SLC51B	1953.667	-0.052	0.698	-0.075	0.121	5.000
AMER3-5	AMER3	1951.667	0.238	0.698	0.341	0.918	5.000
chr1_3	chr1_3	1951.667	0.147	0.698	0.211	0.000	1.000
HIST1H2BH-5	HIST1H2BH	1951.333	-0.263	0.698	-0.376	1.700	5.000
ELN-1	ELN	1951.000	0.173	0.698	0.247	0.206	5.000
ELN-4	ELN	1949.333	-0.093	0.698	-0.133	0.206	5.000
PKP1-3	PKP1	1947.333	0.226	0.698	0.323	0.137	5.000
DEFB116-4	DEFB116	1946.000	0.153	0.698	0.219	0.045	5.000
CAB39L-4	CAB39L	1944.667	0.201	0.698	0.287	0.036	5.000
IFT27-1	IFT27	1943.000	0.247	0.698	0.354	0.707	5.000
TNFSF9-1	TNFSF9	1941.000	0.111	0.698	0.159	0.120	5.000
ALS2CL-3	ALS2CL	1940.333	0.169	0.698	0.243	0.085	5.000
ALKBH6-3	ALKBH6	1940.000	-0.030	0.698	-0.042	0.083	5.000
EGF-1	EGF	1939.000	0.283	0.698	0.405	0.211	5.000
NKPD1-5	NKPD1	1938.667	-0.007	0.698	-0.010	0.115	5.000
ZDHHC1-3	ZDHHC1	1938.667	0.248	0.698	0.355	0.155	5.000
VNN2-2	VNN2	1938.333	-0.082	0.698	-0.117	0.175	5.000
RNF220-5	RNF220	1938.333	0.161	0.698	0.230	0.127	5.000
LIPG-2	LIPG	1935.333	0.032	0.698	0.046	0.136	5.000
BCL6-1	BCL6	1933.000	0.138	0.698	0.197	0.525	5.000
PCNA-3	PCNA	1932.333	-5.063	0.698	-7.249	1.075	5.000
GGA2-2	GGA2	1932.000	-0.108	0.698	-0.154	0.188	5.000
MUS81-2	MUS81	1930.667	-0.323	0.698	-0.462	0.200	5.000
MYOT-4	MYOT	1930.333	0.082	0.698	0.117	0.047	5.000
DACT2-3	DACT2	1926.667	0.083	0.698	0.119	0.081	5.000
FOXP3-5	FOXP3	1926.000	0.120	0.698	0.171	0.078	5.000
PSMD11-4	PSMD11	1924.667	0.346	0.698	0.495	1.817	5.000
NEIL3-1	NEIL3	1923.667	0.274	0.698	0.393	0.459	5.000
KCNN2-2	KCNN2	1923.000	0.120	0.698	0.172	0.147	5.000
LRFN2-5	LRFN2	1922.000	0.134	0.698	0.192	0.109	5.000
TMEM236-3	TMEM236	1922.000	0.095	0.698	0.136	0.142	5.000
RFC1-2	RFC1	1921.333	0.188	0.698	0.270	2.501	5.000
DNTTIP1-4	DNTTIP1	1918.000	-0.043	0.698	-0.062	0.400	5.000
SNX30-2	SNX30	1917.333	0.018	0.698	0.025	0.112	5.000
CREB3L2-5	CREB3L2	1914.667	0.255	0.698	0.365	0.115	5.000
BMP7-2	BMP7	1914.667	0.261	0.698	0.374	0.113	5.000
POLD2-2	POLD2	1914.000	-4.035	0.698	-5.777	1.584	5.000
PLAGL2-5	PLAGL2	1913.667	-0.004	0.698	-0.006	0.082	5.000
SLC38A5-1	SLC38A5	1913.000	0.109	0.698	0.156	0.070	5.000
GCG-5	GCG	1913.000	0.209	0.698	0.299	0.191	5.000
GRHL1-4	GRHL1	1912.333	0.080	0.698	0.115	0.092	5.000
ZSCAN31-2	ZSCAN31	1911.667	0.125	0.698	0.179	0.107	5.000
UNKL-4	UNKL	1911.000	0.146	0.698	0.210	0.131	5.000
SLC50A1-5	SLC50A1	1911.000	0.303	0.698	0.434	0.164	5.000
RFC2-1	RFC2	1910.667	-1.248	0.698	-1.786	0.795	5.000
DYNLRB1-1	DYNLRB1	1909.000	-2.519	0.698	-3.606	1.438	5.000
CH25H-3	CH25H	1909.000	0.292	0.698	0.419	0.216	5.000
chr3_3	chr3_3	1907.000	0.386	0.698	0.552	0.000	1.000
chr12_5	chr12_5	1905.667	0.128	0.698	0.183	0.000	1.000
ERICH5-2	ERICH5	1905.333	0.227	0.698	0.324	0.185	5.000
LYPD8-3	LYPD8	1905.000	0.154	0.698	0.221	0.117	5.000
EXO1-4	EXO1	1904.333	-0.289	0.698	-0.413	0.160	5.000
DSG4-2	DSG4	1904.333	0.252	0.698	0.361	0.626	5.000
CPNE9-2	CPNE9	1903.667	0.251	0.698	0.359	0.285	5.000
OGFOD1-4	OGFOD1	1903.667	0.019	0.698	0.027	0.108	5.000
HSFY1-2	HSFY1	1902.667	0.309	0.698	0.442	0.102	5.000
ASTE1-4	ASTE1	1900.667	0.105	0.698	0.151	0.114	5.000
EP300-4	EP300	1898.000	0.418	0.698	0.599	0.111	5.000
QPCT-1	QPCT	1896.667	-0.003	0.698	-0.004	0.118	5.000
CREB3L2-4	CREB3L2	1896.667	0.223	0.698	0.319	0.115	5.000
XG-1	XG	1896.333	0.395	0.698	0.566	0.532	5.000
CC2D2B-1	CC2D2B	1896.333	-0.016	0.698	-0.023	0.137	5.000
SYNGR2-5	SYNGR2	1896.000	0.268	0.698	0.384	0.159	5.000
TH-1	TH	1895.333	0.251	0.698	0.359	0.132	5.000
TFCP2L1-5	TFCP2L1	1895.000	-0.031	0.698	-0.044	0.138	5.000
MSH4-4	MSH4	1894.000	0.182	0.698	0.261	0.238	5.000
SDR42E1-4	SDR42E1	1894.000	0.314	0.698	0.449	0.205	5.000
TPO-2	TPO	1893.000	0.221	0.698	0.316	0.092	5.000
PRPS2-3	PRPS2	1893.000	0.230	0.698	0.329	0.060	5.000
GRID2IP-4	GRID2IP	1892.667	0.165	0.698	0.237	0.160	5.000
SORBS1-5	SORBS1	1892.000	-0.608	0.698	-0.870	0.390	5.000
VAV3-2	VAV3	1891.667	0.047	0.698	0.068	0.242	5.000
C8orf31-3	C8orf31	1891.667	0.097	0.698	0.139	0.126	5.000
chr15_11	chr15_11	1891.333	0.004	0.698	0.006	0.000	1.000
NUP93-5	NUP93	1890.667	-0.470	0.698	-0.673	1.787	5.000
DMC1-2	DMC1	1889.667	0.235	0.698	0.336	0.095	5.000
HPGD-2	HPGD	1889.333	0.290	0.698	0.416	0.085	5.000
SESN1-4	SESN1	1889.333	0.127	0.698	0.182	0.068	5.000
USP38-3	USP38	1887.333	0.170	0.698	0.243	0.067	5.000
ASPG-3	ASPG	1885.667	0.194	0.698	0.278	0.193	5.000
COPS2-4	COPS2	1885.000	-1.444	0.698	-2.067	0.686	5.000
CEMP1-4	CEMP1	1884.667	-0.129	0.698	-0.184	0.184	5.000
FAM124B-1	FAM124B	1884.000	0.249	0.698	0.356	0.138	5.000
MSH6-1	MSH6	1883.667	-0.219	0.698	-0.313	0.137	5.000
CKM-2	CKM	1882.333	0.167	0.698	0.239	0.179	5.000
PSMC1-2	PSMC1	1881.333	-0.008	0.698	-0.011	0.962	5.000
TGIF2-3	TGIF2	1880.000	0.217	0.698	0.311	0.127	5.000
POLH-1	POLH	1878.333	-0.108	0.698	-0.154	0.091	5.000
ARID3A-3	ARID3A	1878.333	0.160	0.698	0.229	0.105	5.000
BMP10-4	BMP10	1878.000	0.104	0.698	0.149	0.134	5.000
USP38-4	USP38	1878.000	0.028	0.698	0.041	0.067	5.000
LIPG-1	LIPG	1877.000	-0.038	0.698	-0.055	0.136	5.000
MLXIPL-2	MLXIPL	1876.000	-0.229	0.698	-0.328	0.152	5.000
CREB3L2-2	CREB3L2	1875.667	0.211	0.698	0.303	0.115	5.000
GPR87-1	GPR87	1875.000	0.319	0.698	0.457	0.173	5.000
UGT1A7-3	UGT1A7	1874.333	0.109	0.698	0.155	0.947	5.000
RPL36-5	RPL36	1874.000	-1.974	0.698	-2.826	1.477	5.000
CPNE9-3	CPNE9	1873.667	0.151	0.698	0.217	0.285	5.000
PLEKHA4-1	PLEKHA4	1872.667	0.115	0.698	0.164	0.050	5.000
NANOS1-5	NANOS1	1871.000	0.243	0.698	0.348	0.126	5.000
SHROOM2-2	SHROOM2	1869.667	0.312	0.698	0.447	0.124	5.000
FBXO34-4	FBXO34	1869.000	0.089	0.698	0.128	0.146	5.000
SYNGR2-3	SYNGR2	1867.667	0.192	0.698	0.275	0.159	5.000
NME5-3	NME5	1867.333	0.034	0.698	0.048	0.230	5.000
WNK2-1	WNK2	1865.667	0.153	0.698	0.220	0.155	5.000
POLE-4	POLE	1865.333	-1.753	0.698	-2.509	1.564	5.000
SOCS7-1	SOCS7	1864.333	0.204	0.698	0.293	0.134	5.000
CCDC106-4	CCDC106	1860.667	0.023	0.698	0.033	0.118	5.000
chr13_7	chr13_7	1860.333	0.336	0.698	0.481	0.000	1.000
HOXD13-2	HOXD13	1859.667	-0.109	0.698	-0.155	0.238	5.000
CCR1-3	CCR1	1859.333	0.203	0.698	0.291	0.258	5.000
TTC33-3	TTC33	1859.333	0.228	0.698	0.326	0.098	5.000
HYPM-3	HYPM	1859.333	0.299	0.698	0.428	0.104	5.000
ZKSCAN8-5	ZKSCAN8	1859.000	0.587	0.698	0.841	0.221	5.000
NUP205-4	NUP205	1859.000	-0.588	0.698	-0.842	1.681	5.000
RHOG-5	RHOG	1858.667	-0.070	0.698	-0.100	0.135	5.000
MYRIP-2	MYRIP	1858.333	0.214	0.698	0.307	0.184	5.000
ENTPD4-5	ENTPD4	1857.333	0.221	0.698	0.317	0.120	5.000
RPL27-2	RPL27	1856.667	-2.512	0.698	-3.597	1.876	5.000
GPR143-1	GPR143	1856.667	0.222	0.698	0.318	0.135	5.000
EMG1-2	EMG1	1854.333	-2.084	0.698	-2.984	0.576	5.000
GGT7-2	GGT7	1854.000	0.185	0.698	0.266	0.105	5.000
NANOS1-4	NANOS1	1853.333	0.028	0.698	0.040	0.126	5.000
BPIFB6-5	BPIFB6	1853.000	0.061	0.698	0.087	0.110	5.000
LCE6A-2	LCE6A	1852.667	-0.135	0.698	-0.193	0.188	5.000
YIPF4-4	YIPF4	1851.667	0.278	0.698	0.398	0.156	5.000
SNX30-1	SNX30	1851.000	0.081	0.698	0.116	0.112	5.000
LGR5-4	LGR5	1850.333	0.146	0.698	0.210	0.157	5.000
PSMA3-3	PSMA3	1850.333	-2.126	0.698	-3.043	1.760	5.000
CCL8-3	CCL8	1850.000	0.190	0.698	0.272	0.168	5.000
RPS27-1	RPS27	1849.667	-2.601	0.698	-3.724	1.020	5.000
ATF6B-5	ATF6B	1849.333	-0.155	0.698	-0.222	0.144	5.000
SATL1-1	SATL1	1849.333	0.112	0.698	0.161	0.180	5.000
PMS1-5	PMS1	1848.667	-0.117	0.698	-0.167	0.154	5.000
SLC39A5-4	SLC39A5	1848.333	-0.194	0.698	-0.278	0.468	5.000
CH25H-1	CH25H	1848.000	0.186	0.698	0.267	0.216	5.000
SHC2-1	SHC2	1848.000	0.274	0.698	0.393	0.288	5.000
RPL11-5	RPL11	1844.000	-2.781	0.698	-3.982	1.138	5.000
INVS-3	INVS	1842.667	-0.157	0.698	-0.225	0.271	5.000
B3GNT5-2	B3GNT5	1842.333	0.173	0.698	0.247	0.175	5.000
BCL2L10-2	BCL2L10	1836.667	0.198	0.698	0.284	0.191	5.000
IL2RG-1	IL2RG	1836.333	0.289	0.698	0.413	0.112	5.000
ELN-3	ELN	1836.000	-0.185	0.698	-0.265	0.206	5.000
RPL18A-2	RPL18A	1835.667	-1.623	0.698	-2.323	0.502	5.000
MUS81-1	MUS81	1834.667	0.096	0.698	0.138	0.200	5.000
DUOX2-3	DUOX2	1833.667	0.021	0.698	0.030	0.089	5.000
HEG1-1	HEG1	1833.333	0.391	0.698	0.560	0.195	5.000
OR8S1-3	OR8S1	1833.333	0.025	0.698	0.036	0.213	5.000
DXO-5	DXO	1833.333	0.119	0.698	0.171	0.280	5.000
EHD3-2	EHD3	1831.667	0.070	0.698	0.100	0.153	5.000
ASPG-2	ASPG	1831.667	-0.009	0.698	-0.013	0.193	5.000
KRT23-5	KRT23	1831.000	0.065	0.698	0.093	0.552	5.000
RPA3-3	RPA3	1829.667	-4.077	0.698	-5.837	1.619	5.000
EEF1B2-2	EEF1B2	1829.000	-0.731	0.698	-1.046	0.547	5.000
FAM124B-2	FAM124B	1827.333	0.258	0.707	0.366	0.138	5.000
CHST4-3	CHST4	1827.000	-0.076	0.707	-0.107	0.149	5.000
DPY19L2-2	DPY19L2	1826.333	-0.238	0.707	-0.336	0.316	5.000
PPIL2-2	PPIL2	1826.000	-3.298	0.707	-4.665	1.278	5.000
SPIN3-1	SPIN3	1824.667	0.054	0.707	0.077	0.134	5.000
FGF13-1	FGF13	1824.333	0.330	0.707	0.466	0.126	5.000
FEN1-1	FEN1	1823.667	-0.226	0.707	-0.320	0.189	5.000
CREB3L2-1	CREB3L2	1822.667	0.307	0.707	0.435	0.115	5.000
SSR2-2	SSR2	1822.000	-0.271	0.707	-0.383	0.340	5.000
PPIL2-1	PPIL2	1821.667	-2.959	0.707	-4.185	1.278	5.000
TRIM36-5	TRIM36	1820.000	0.214	0.707	0.303	0.122	5.000
COPS2-1	COPS2	1820.000	-0.450	0.707	-0.637	0.686	5.000
SLC13A2-2	SLC13A2	1819.667	0.079	0.707	0.112	0.185	5.000
ELF5-4	ELF5	1819.333	0.089	0.707	0.126	0.065	5.000
AADAT-4	AADAT	1819.000	0.111	0.707	0.158	0.041	5.000
MROH2B-3	MROH2B	1817.000	-0.038	0.707	-0.054	0.129	5.000
SATL1-4	SATL1	1817.000	0.076	0.707	0.108	0.180	5.000
PFKL-1	PFKL	1816.333	0.212	0.707	0.300	0.070	5.000
BSPH1-3	BSPH1	1816.333	0.315	0.707	0.445	0.245	5.000
ARID3A-5	ARID3A	1816.000	-0.024	0.707	-0.034	0.105	5.000
PCGF1-3	PCGF1	1815.000	-0.074	0.707	-0.104	0.072	5.000
HMGB3-5	HMGB3	1815.000	0.531	0.707	0.751	0.368	5.000
LIG1-5	LIG1	1814.667	0.195	0.707	0.276	0.108	5.000
chr4_7	chr4_7	1814.333	0.119	0.707	0.169	0.000	1.000
LRRN1-5	LRRN1	1814.333	0.261	0.707	0.369	0.039	5.000
PSMC1-3	PSMC1	1814.000	-0.431	0.707	-0.610	0.962	5.000
BCL6-3	BCL6	1813.667	0.133	0.707	0.188	0.525	5.000
FOXP3-1	FOXP3	1813.333	0.236	0.707	0.333	0.078	5.000
PRRT3-3	PRRT3	1812.333	-0.248	0.707	-0.351	0.249	5.000
KCNK5-5	KCNK5	1811.667	-0.045	0.707	-0.064	0.213	5.000
ETV3L-5	ETV3L	1811.333	0.175	0.707	0.248	0.130	5.000
OR2A14-1	OR2A14	1810.000	0.141	0.707	0.199	0.080	5.000
NUP205-1	NUP205	1809.333	-2.174	0.707	-3.074	1.681	5.000
MLXIPL-4	MLXIPL	1808.333	-0.079	0.707	-0.112	0.152	5.000
SS18-3	SS18	1808.333	0.136	0.707	0.192	0.879	5.000
IL2RG-3	IL2RG	1808.000	0.252	0.707	0.357	0.112	5.000
MED12-1	MED12	1805.333	1.032	0.707	1.460	0.201	5.000
PILRA-2	PILRA	1805.000	-0.107	0.707	-0.152	0.686	5.000
TTC7A-3	TTC7A	1804.333	0.226	0.707	0.319	0.120	5.000
ELN-2	ELN	1804.333	0.092	0.707	0.129	0.206	5.000
C15orf40-4	C15orf40	1803.667	0.040	0.707	0.056	0.198	5.000
MAD2L1BP-5	MAD2L1BP	1803.000	-0.250	0.707	-0.354	0.106	5.000
FGF13-4	FGF13	1802.333	0.243	0.707	0.344	0.126	5.000
ROBO2-1	ROBO2	1802.000	0.091	0.707	0.128	0.346	5.000
TMEM176A-5	TMEM176A	1801.667	0.274	0.707	0.388	0.110	5.000
KIAA1522-3	KIAA1522	1801.333	0.268	0.707	0.379	0.155	5.000
EIF4E2-4	EIF4E2	1801.333	0.263	0.707	0.372	0.227	5.000
C10orf82-1	C10orf82	1801.333	0.241	0.707	0.340	0.498	5.000
TTC7A-2	TTC7A	1800.667	0.178	0.707	0.252	0.120	5.000
ASPG-5	ASPG	1799.667	-0.090	0.707	-0.128	0.193	5.000
BLCAP-1	BLCAP	1799.333	0.077	0.707	0.110	0.240	5.000
FGF13-2	FGF13	1796.667	0.284	0.707	0.402	0.126	5.000
ROBO2-2	ROBO2	1796.333	-0.483	0.707	-0.683	0.346	5.000
PSMB3-1	PSMB3	1796.333	-1.506	0.707	-2.130	2.779	5.000
chr7_10	chr7_10	1796.000	0.086	0.707	0.122	0.000	1.000
BPIFB6-3	BPIFB6	1795.667	0.273	0.707	0.386	0.110	5.000
SS18-2	SS18	1795.333	0.222	0.707	0.315	0.879	5.000
PEPD-2	PEPD	1795.000	0.245	0.707	0.346	0.242	5.000
CXCL5-4	CXCL5	1794.000	0.044	0.707	0.062	0.237	4.000
APOL1-4	APOL1	1793.667	0.378	0.707	0.535	0.202	5.000
APOL1-5	APOL1	1790.667	0.113	0.707	0.160	0.202	5.000
chr9_10	chr9_10	1789.667	0.280	0.707	0.396	0.000	1.000
GNG4-4	GNG4	1789.000	0.176	0.707	0.250	0.045	5.000
HNRNPL-3	HNRNPL	1788.667	-0.710	0.707	-1.005	0.749	5.000
DMRTC1B-4	DMRTC1B	1788.000	0.161	0.707	0.227	0.171	5.000
TH-4	TH	1788.000	0.294	0.707	0.416	0.132	5.000
CEACAM3-1	CEACAM3	1787.667	0.334	0.707	0.472	0.207	5.000
ASCL2-4	ASCL2	1787.000	0.227	0.707	0.321	0.615	5.000
ASXL1-3	ASXL1	1786.333	0.069	0.707	0.097	0.172	5.000
CYB5D1-5	CYB5D1	1786.333	-0.036	0.707	-0.051	0.218	5.000
DIMT1-3	DIMT1	1786.333	-1.125	0.707	-1.592	0.484	5.000
ARID3A-1	ARID3A	1786.000	0.045	0.707	0.063	0.105	5.000
VWA5B1-1	VWA5B1	1786.000	0.061	0.707	0.086	0.574	5.000
TCF7-4	TCF7	1785.333	0.214	0.707	0.303	0.263	5.000
TCF19-3	TCF19	1784.667	0.111	0.707	0.156	0.073	5.000
ADAM9-5	ADAM9	1783.667	0.121	0.707	0.172	0.091	5.000
chr19_2	chr19_2	1783.667	-0.102	0.707	-0.144	0.000	1.000
CPNE9-5	CPNE9	1783.000	-0.280	0.707	-0.396	0.285	5.000
ZSCAN31-4	ZSCAN31	1782.667	0.206	0.707	0.291	0.107	5.000
PLCL1-3	PLCL1	1781.667	0.021	0.707	0.030	0.086	5.000
HS3ST4-3	HS3ST4	1781.000	-0.136	0.707	-0.193	0.142	5.000
SPTBN1-4	SPTBN1	1780.333	0.076	0.707	0.108	0.133	5.000
EYS-2	EYS	1779.667	-0.296	0.707	-0.418	0.130	5.000
BCL2L10-3	BCL2L10	1779.333	-0.087	0.707	-0.123	0.191	5.000
RLN2-2	RLN2	1779.000	0.242	0.707	0.343	0.136	5.000
CDRT4-3	CDRT4	1778.333	0.035	0.707	0.050	0.088	5.000
DSG4-4	DSG4	1778.333	0.158	0.707	0.224	0.626	5.000
RXFP4-4	RXFP4	1777.667	0.308	0.707	0.436	0.109	5.000
EGF-2	EGF	1777.333	0.255	0.707	0.361	0.211	5.000
OSR1-1	OSR1	1776.000	0.091	0.707	0.129	0.092	5.000
IRF2BPL-1	IRF2BPL	1776.000	0.042	0.707	0.059	0.142	5.000
ASCL2-5	ASCL2	1775.667	0.137	0.707	0.194	0.615	5.000
ACSL6-4	ACSL6	1774.333	0.109	0.707	0.154	0.126	5.000
SHCBP1L-1	SHCBP1L	1773.667	0.186	0.707	0.263	0.059	5.000
CAB39L-2	CAB39L	1773.333	0.278	0.707	0.394	0.036	5.000
HMGB3-2	HMGB3	1773.333	0.422	0.707	0.597	0.368	5.000
POLD2-5	POLD2	1773.333	-2.856	0.707	-4.040	1.584	5.000
NUP54-2	NUP54	1773.333	0.114	0.707	0.161	0.795	2.000
GGA2-3	GGA2	1773.000	-0.134	0.707	-0.189	0.188	5.000
chr6_2	chr6_2	1772.333	0.345	0.707	0.488	0.000	1.000
F10-5	F10	1771.000	0.176	0.707	0.249	0.036	5.000
DTHD1-3	DTHD1	1771.000	0.002	0.707	0.003	0.086	5.000
TTC7A-4	TTC7A	1769.333	0.161	0.707	0.228	0.120	5.000
SLC50A1-2	SLC50A1	1769.333	0.022	0.707	0.031	0.164	5.000
TRIM7-4	TRIM7	1768.667	0.078	0.707	0.110	0.157	5.000
AMER3-2	AMER3	1768.333	0.123	0.707	0.174	0.918	5.000
CEACAM20-2	CEACAM20	1767.667	0.117	0.707	0.165	0.256	5.000
chr13_4	chr13_4	1767.000	0.262	0.707	0.371	0.000	1.000
USP20-1	USP20	1766.667	0.152	0.707	0.215	0.287	5.000
GRID2IP-1	GRID2IP	1766.333	0.034	0.707	0.048	0.160	5.000
ROBO2-5	ROBO2	1765.667	0.142	0.707	0.201	0.346	5.000
PEX10-5	PEX10	1765.667	-0.029	0.707	-0.041	0.111	5.000
PNRC1-2	PNRC1	1765.333	0.199	0.707	0.281	0.178	5.000
MANSC1-5	MANSC1	1763.667	0.208	0.707	0.294	0.285	5.000
FANCG-3	FANCG	1763.333	-0.053	0.707	-0.075	0.228	5.000
RYK-3	RYK	1762.667	0.308	0.707	0.435	0.095	5.000
chr2_3	chr2_3	1762.667	-0.040	0.707	-0.056	0.000	1.000
NR0B2-3	NR0B2	1761.333	-0.021	0.707	-0.030	0.086	5.000
CYP24A1-2	CYP24A1	1760.667	0.104	0.707	0.147	0.115	5.000
AGT-5	AGT	1760.333	0.188	0.707	0.266	0.144	5.000
RPL18A-3	RPL18A	1759.000	-1.006	0.707	-1.423	0.502	5.000
REEP1-2	REEP1	1758.333	0.257	0.707	0.364	0.265	5.000
PRR21-2	PRR21	1758.000	0.112	0.707	0.158	0.109	5.000
AADAT-3	AADAT	1757.333	0.172	0.707	0.243	0.041	5.000
chr17_8	chr17_8	1757.333	0.191	0.707	0.271	0.000	1.000
PRRT3-5	PRRT3	1757.000	0.251	0.707	0.355	0.249	5.000
CYB5D1-2	CYB5D1	1756.333	-0.021	0.707	-0.030	0.218	5.000
GTPBP10-2	GTPBP10	1755.667	0.288	0.707	0.408	0.192	5.000
RPA2-2	RPA2	1755.667	-0.331	0.707	-0.468	1.716	5.000
chr21_4	chr21_4	1755.333	0.230	0.707	0.325	0.000	1.000
LGR5-3	LGR5	1754.000	-0.052	0.707	-0.073	0.157	5.000
chr1_9	chr1_9	1753.667	0.229	0.707	0.324	0.000	1.000
AXIN2-1	AXIN2	1750.000	0.287	0.707	0.406	0.145	5.000
USP18-4	USP18	1749.000	-0.114	0.707	-0.161	0.255	5.000
CDHR5-4	CDHR5	1749.000	0.107	0.707	0.151	0.140	5.000
TRABD-4	TRABD	1748.333	-0.044	0.707	-0.063	0.239	5.000
ELK1-2	ELK1	1747.667	0.213	0.707	0.302	0.666	5.000
PRPS2-5	PRPS2	1747.667	0.334	0.707	0.473	0.060	5.000
HOXB8-1	HOXB8	1746.333	0.093	0.707	0.132	0.089	5.000
PCGF1-1	PCGF1	1745.667	-0.126	0.707	-0.178	0.072	5.000
TMEM176A-3	TMEM176A	1745.000	0.276	0.707	0.390	0.110	5.000
TMEM176A-2	TMEM176A	1745.000	0.080	0.707	0.112	0.110	5.000
EVC-2	EVC	1744.667	0.196	0.707	0.277	0.076	5.000
RPL3-3	RPL3	1744.667	-0.779	0.707	-1.102	0.724	5.000
C1QL4-4	C1QL4	1744.333	-0.423	0.707	-0.598	0.392	5.000
CYP4F8-1	CYP4F8	1743.667	-0.091	0.707	-0.128	0.074	5.000
MFHAS1-1	MFHAS1	1743.333	-0.117	0.707	-0.166	0.237	5.000
MUS81-4	MUS81	1743.000	-0.162	0.707	-0.229	0.200	5.000
MRPS26-2	MRPS26	1743.000	-0.011	0.707	-0.015	0.157	5.000
TRHDE-5	TRHDE	1741.333	-0.342	0.707	-0.484	0.243	5.000
SDR42E1-3	SDR42E1	1740.667	0.143	0.707	0.202	0.205	5.000
ERCC1-2	ERCC1	1740.667	-0.268	0.707	-0.378	0.202	5.000
EHD3-4	EHD3	1740.000	0.250	0.707	0.354	0.153	5.000
EXO1-2	EXO1	1739.000	-0.417	0.707	-0.590	0.160	5.000
GGA3-3	GGA3	1738.667	0.007	0.707	0.009	0.153	5.000
PCMT1-3	PCMT1	1738.333	0.009	0.707	0.013	0.099	5.000
DUOX2-1	DUOX2	1737.000	0.074	0.707	0.104	0.089	5.000
EHD3-5	EHD3	1736.000	0.212	0.707	0.299	0.153	5.000
HPN-5	HPN	1735.667	0.054	0.707	0.077	0.118	5.000
PML-2	PML	1735.667	0.299	0.707	0.423	0.149	5.000
POLR2D-2	POLR2D	1735.000	-1.105	0.707	-1.562	1.497	5.000
CRHR2-3	CRHR2	1734.667	-0.002	0.707	-0.004	0.113	5.000
GRP-3	GRP	1732.000	-0.057	0.707	-0.081	0.173	5.000
C7orf69-5	C7orf69	1732.000	0.271	0.707	0.383	0.094	5.000
MKL2-3	MKL2	1731.667	0.147	0.707	0.208	0.074	5.000
ADAM9-4	ADAM9	1731.667	-0.027	0.707	-0.038	0.091	5.000
SMIM15-3	SMIM15	1731.667	0.243	0.707	0.344	0.218	5.000
ZNF485-4	ZNF485	1731.000	-0.298	0.707	-0.421	0.233	5.000
chr15_7	chr15_7	1731.000	0.117	0.707	0.166	0.000	1.000
MLXIPL-3	MLXIPL	1730.667	-0.382	0.707	-0.541	0.152	5.000
chr19_6	chr19_6	1729.667	0.094	0.707	0.133	0.000	1.000
MEF2D-3	MEF2D	1728.667	0.089	0.707	0.126	0.092	5.000
MYOM2-4	MYOM2	1727.333	-0.123	0.707	-0.174	0.164	5.000
WNK2-3	WNK2	1726.667	-0.056	0.707	-0.079	0.155	5.000
GJC3-5	GJC3	1726.000	-0.566	0.707	-0.800	0.336	5.000
ENTPD4-2	ENTPD4	1725.333	0.152	0.707	0.214	0.120	5.000
NUP93-4	NUP93	1724.667	-2.532	0.707	-3.581	1.787	5.000
chr14_4	chr14_4	1724.667	0.450	0.707	0.636	0.000	1.000
ZFP36L2-5	ZFP36L2	1723.667	0.276	0.707	0.390	0.192	5.000
LYSMD3-1	LYSMD3	1723.333	0.174	0.707	0.246	0.074	5.000
RNF216-2	RNF216	1722.667	0.169	0.707	0.240	0.092	5.000
TNNC2-4	TNNC2	1722.000	0.313	0.707	0.443	0.390	5.000
PSMB3-2	PSMB3	1721.667	-0.152	0.707	-0.215	2.779	5.000
UCN2-2	UCN2	1720.333	-0.191	0.707	-0.270	0.142	5.000
COL4A6-1	COL4A6	1720.333	0.271	0.707	0.384	0.048	5.000
SLAMF1-5	SLAMF1	1720.000	0.036	0.707	0.051	0.132	5.000
SLC38A4-2	SLC38A4	1720.000	0.058	0.707	0.082	0.131	5.000
